C:\Users\2213226\Documents\comprasgovIFMS> python.exe .\main.py
11:02:23 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
11:09:13 | INFO     | ❌ FAIL | NA | OUTRASMODALIDADES | 2021 | 249/363 (68.6%) | Falhas: 90
11:09:19 | INFO     | ❌ FAIL | NA | OUTRASMODALIDADES | 2022 | 251/363 (69.1%) | Falhas: 91
11:09:22 | INFO     | ❌ FAIL | NA | OUTRASMODALIDADES | 2023 | 252/363 (69.4%) | Falhas: 92
11:09:23 | INFO     | ❌ FAIL | NA | PREGAO            | 2022 | 254/363 (70.0%) | Falhas: 93
11:09:26 | INFO     | ❌ FAIL | NA | PREGAO            | 2023 | 255/363 (70.2%) | Falhas: 94
11:09:29 | INFO     | ❌ FAIL | NA | OUTRASMODALIDADES | 2024 | 257/363 (70.8%) | Falhas: 95
11:09:30 | INFO     | ❌ FAIL | NA | PREGAO            | 2024 | 258/363 (71.1%) | Falhas: 96
11:09:33 | INFO     | ❌ FAIL | NA | OUTRASMODALIDADES | 2025 | 260/363 (71.6%) | Falhas: 97
11:09:35 | INFO     | ❌ FAIL | NA | PREGAO            | 2025 | 261/363 (71.9%) | Falhas: 98
11:09:40 | INFO     | ❌ FAIL | NA | PREGAO            | 2026 | 263/363 (72.5%) | Falhas: 99
11:09:43 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2016 | 264/363 (72.7%) | Falhas: 100
11:09:51 | INFO     | ❌ FAIL | NV | PREGAO            | 2017 | 267/363 (73.6%) | Falhas: 101
11:09:54 | INFO     | ❌ FAIL | NA | OUTRASMODALIDADES | 2026 | 278/363 (76.6%) | Falhas: 102
11:09:59 | INFO     | ❌ FAIL | NV | PREGAO            | 2016 | 279/363 (76.9%) | Falhas: 103
11:09:59 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2021 | 281/363 (77.4%) | Falhas: 104
11:10:00 | INFO     | ❌ FAIL | NV | PREGAO            | 2021 | 282/363 (77.7%) | Falhas: 105
11:10:05 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2022 | 284/363 (78.2%) | Falhas: 106
11:10:07 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2023 | 285/363 (78.5%) | Falhas: 107
11:10:10 | INFO     | ❌ FAIL | NV | PREGAO            | 2022 | 287/363 (79.1%) | Falhas: 108
11:10:12 | INFO     | ❌ FAIL | NV | PREGAO            | 2023 | 288/363 (79.3%) | Falhas: 109
11:10:14 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2024 | 290/363 (79.9%) | Falhas: 110
11:10:16 | INFO     | ❌ FAIL | NV | PREGAO            | 2024 | 291/363 (80.2%) | Falhas: 111
11:10:21 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2025 | 293/363 (80.7%) | Falhas: 112
11:10:21 | INFO     | ❌ FAIL | NV | PREGAO            | 2025 | 294/363 (81.0%) | Falhas: 113
11:10:23 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2026 | 311/363 (85.7%) | Falhas: 114
11:10:31 | INFO     | ❌ FAIL | NV | PREGAO            | 2026 | 312/363 (86.0%) | Falhas: 115
11:10:31 | INFO     | ❌ FAIL | PP | OUTRASMODALIDADES | 2021 | 314/363 (86.5%) | Falhas: 116
11:10:34 | INFO     | ❌ FAIL | PP | PREGAO            | 2021 | 315/363 (86.8%) | Falhas: 117
11:10:38 | INFO     | ❌ FAIL | PP | PREGAO            | 2022 | 317/363 (87.3%) | Falhas: 118
11:10:39 | INFO     | ❌ FAIL | PP | OUTRASMODALIDADES | 2022 | 318/363 (87.6%) | Falhas: 119
11:10:39 | INFO     | ⏭️  SKIPs acumulados: 200 | 319/363 (87.9%) | Falhas: 119
11:10:40 | INFO     | ❌ FAIL | PP | OUTRASMODALIDADES | 2023 | 320/363 (88.2%) | Falhas: 120
11:10:48 | INFO     | ❌ FAIL | PP | OUTRASMODALIDADES | 2024 | 321/363 (88.4%) | Falhas: 121
11:10:49 | INFO     | ❌ FAIL | PP | PREGAO            | 2023 | 323/363 (89.0%) | Falhas: 122
11:10:51 | INFO     | ❌ FAIL | PP | PREGAO            | 2024 | 324/363 (89.3%) | Falhas: 123
11:10:55 | INFO     | ❌ FAIL | PP | OUTRASMODALIDADES | 2025 | 326/363 (89.8%) | Falhas: 124
11:10:56 | INFO     | ❌ FAIL | PP | PREGAO            | 2025 | 327/363 (90.1%) | Falhas: 125
11:11:02 | INFO     | ❌ FAIL | PP | PREGAO            | 2026 | 344/363 (94.8%) | Falhas: 126
11:11:02 | INFO     | ❌ FAIL | PP | OUTRASMODALIDADES | 2026 | 345/363 (95.0%) | Falhas: 127
11:11:10 | INFO     | ❌ FAIL | TL | PREGAO            | 2021 | 347/363 (95.6%) | Falhas: 128
11:11:10 | INFO     | ❌ FAIL | TL | OUTRASMODALIDADES | 2022 | 348/363 (95.9%) | Falhas: 129
11:11:17 | INFO     | ❌ FAIL | TL | PREGAO            | 2022 | 350/363 (96.4%) | Falhas: 130
11:11:18 | INFO     | ❌ FAIL | TL | OUTRASMODALIDADES | 2021 | 351/363 (96.7%) | Falhas: 131
11:11:22 | INFO     | ❌ FAIL | TL | OUTRASMODALIDADES | 2023 | 353/363 (97.2%) | Falhas: 132
11:11:24 | INFO     | ❌ FAIL | TL | OUTRASMODALIDADES | 2024 | 354/363 (97.5%) | Falhas: 133
11:11:27 | INFO     | ❌ FAIL | TL | PREGAO            | 2023 | 356/363 (98.1%) | Falhas: 134
11:11:28 | INFO     | ❌ FAIL | TL | PREGAO            | 2024 | 357/363 (98.3%) | Falhas: 135
11:11:31 | INFO     | ❌ FAIL | TL | OUTRASMODALIDADES | 2025 | 359/363 (98.9%) | Falhas: 136
