C:\Users\2213226\Documents\comprasv3> python.exe .\main.py
13:29:14 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
[13:34:23] ⏭️  SKIPs: 700 | 700/2839 (24.7%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 750 | 750/2839 (26.4%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 800 | 800/2839 (28.2%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 850 | 850/2839 (29.9%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 900 | 900/2839 (31.7%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 950 | 950/2839 (33.5%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 1000 | 1000/2839 (35.2%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 1050 | 1050/2839 (37.0%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 1100 | 1100/2839 (38.7%) | Falhas: 0
[13:34:24] ⏭️  SKIPs: 1150 | 1150/2839 (40.5%) | Falhas: 0
[13:34:24] ⏭️  SKIPs: 1200 | 1200/2839 (42.3%) | Falhas: 0
[13:34:24] ⏭️  SKIPs: 1250 | 1250/2839 (44.0%) | Falhas: 0
[13:34:24] ⏭️  SKIPs: 1300 | 1300/2839 (45.8%) | Falhas: 0
[13:34:24] ⏭️  SKIPs: 1350 | 1350/2839 (47.6%) | Falhas: 0
[13:34:24] ⏭️  SKIPs: 1400 | 1400/2839 (49.3%) | Falhas: 0
[13:34:24] ⏭️  SKIPs: 1450 | 1450/2839 (51.1%) | Falhas: 0
[13:34:24] ⏭️  SKIPs: 1500 | 1500/2839 (52.8%) | Falhas: 0
[13:34:24] ⏭️  SKIPs: 1550 | 1550/2839 (54.6%) | Falhas: 0
[13:34:24] ⏭️  SKIPs: 1600 | 1600/2839 (56.4%) | Falhas: 0
[13:34:24] ⏭️  SKIPs: 1650 | 1650/2839 (58.1%) | Falhas: 0
[13:34:24] ⏭️  SKIPs: 1700 | 1700/2839 (59.9%) | Falhas: 0
[13:34:24] ✅ SUCESSO | 15844805000012016 | E2 | 1715/2839 (60.4%) | Falhas: 0
[13:34:24] ✅ SUCESSO | 15844805000022016 | E2 | 1716/2839 (60.4%) | Falhas: 0
[13:34:24] ✅ SUCESSO | 15844805000022017 | E2 | 1717/2839 (60.5%) | Falhas: 0
[13:34:24] ✅ SUCESSO | 15844805000012017 | E2 | 1718/2839 (60.5%) | Falhas: 0
[13:34:24] ✅ SUCESSO | 15844805000042019 | E2 | 1719/2839 (60.5%) | Falhas: 0
[13:34:24] ✅ SUCESSO | 15844805000082019 | E2 | 1720/2839 (60.6%) | Falhas: 0
[13:34:25] ✅ SUCESSO | 15844805000012019 | E2 | 1721/2839 (60.6%) | Falhas: 0
[13:34:25] ✅ SUCESSO | 15844805000052019 | E2 | 1722/2839 (60.7%) | Falhas: 0
[13:34:25] ✅ SUCESSO | 15844805000032019 | E2 | 1723/2839 (60.7%) | Falhas: 0
[13:34:25] ✅ SUCESSO | 15844805000072019 | E2 | 1724/2839 (60.7%) | Falhas: 0
