C:\Users\2213226\Documents\comprasv3> python.exe .\main.py
11:45:42 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
11:45:42 | INFO     | ============================================================
[11:49:44] ❌ FAIL | CX | PREGAO          | 2025
[11:49:44] ✅ DONE | CX | DISPENSA        | 2026
[11:49:47] ❌ FAIL | CX | OUTRASMODALIDADES | 2026
[11:49:48] ❌ FAIL | CX | PREGAO          | 2026
[11:49:48] ✅ DONE | DR | DISPENSA        | 2016
[11:49:50] ❌ FAIL | DR | OUTRASMODALIDADES | 2016
[11:49:54] ❌ FAIL | DR | PREGAO          | 2016
[11:49:54] ✅ DONE | DR | DISPENSA        | 2017
[11:49:55] ❌ FAIL | DR | OUTRASMODALIDADES | 2017
[11:49:57] ❌ FAIL | DR | PREGAO          | 2017
[11:49:57] ✅ DONE | DR | DISPENSA        | 2018
[11:50:00] ❌ FAIL | DR | OUTRASMODALIDADES | 2018
[11:50:01] ❌ FAIL | DR | PREGAO          | 2018
[11:50:01] ✅ DONE | DR | DISPENSA        | 2019
[11:50:04] ❌ FAIL | DR | OUTRASMODALIDADES | 2019
[11:50:07] ❌ FAIL | DR | PREGAO          | 2019
[11:50:07] ✅ DONE | DR | DISPENSA        | 2020
[11:50:08] ❌ FAIL | DR | OUTRASMODALIDADES | 2020
[11:50:10] ❌ FAIL | DR | PREGAO          | 2020
[11:50:11] ✅ DONE | DR | DISPENSA        | 2021
[11:50:14] ❌ FAIL | DR | OUTRASMODALIDADES | 2021
[11:50:14] ❌ FAIL | DR | PREGAO          | 2021
[11:50:14] ✅ DONE | DR | DISPENSA        | 2022
[11:50:17] ❌ FAIL | DR | OUTRASMODALIDADES | 2022
[11:50:20] ❌ FAIL | DR | PREGAO          | 2022
[11:50:20] ✅ DONE | DR | DISPENSA        | 2023
[11:50:21] ❌ FAIL | DR | OUTRASMODALIDADES | 2023
[11:50:23] ❌ FAIL | DR | PREGAO          | 2023
[11:50:24] ✅ DONE | DR | DISPENSA        | 2024
[11:50:27] ❌ FAIL | DR | OUTRASMODALIDADES | 2024
[11:50:27] ❌ FAIL | DR | PREGAO          | 2024
[11:50:28] ✅ DONE | DR | DISPENSA        | 2025
[11:50:30] ❌ FAIL | DR | OUTRASMODALIDADES | 2025
[11:50:33] ❌ FAIL | DR | PREGAO          | 2025
[11:50:33] ✅ DONE | DR | DISPENSA        | 2026
[11:50:34] ❌ FAIL | DR | OUTRASMODALIDADES | 2026
[11:50:36] ❌ FAIL | DR | PREGAO          | 2026
[11:50:37] ✅ DONE | JD | DISPENSA        | 2016
[11:50:40] ❌ FAIL | JD | OUTRASMODALIDADES | 2016
[11:50:40] ❌ FAIL | JD | PREGAO          | 2016
[11:50:41] ✅ DONE | JD | DISPENSA        | 2017
[11:50:43] ❌ FAIL | JD | OUTRASMODALIDADES | 2017
[11:50:46] ❌ FAIL | JD | PREGAO          | 2017
[11:50:46] ✅ DONE | JD | DISPENSA        | 2018
[11:50:47] ❌ FAIL | JD | OUTRASMODALIDADES | 2018
[11:50:49] ❌ FAIL | JD | PREGAO          | 2018
[11:50:50] ✅ DONE | JD | DISPENSA        | 2019
[11:50:53] ❌ FAIL | JD | OUTRASMODALIDADES | 2019
[11:50:54] ❌ FAIL | JD | PREGAO          | 2019
[11:50:54] ✅ DONE | JD | DISPENSA        | 2020
[11:50:56] ❌ FAIL | JD | OUTRASMODALIDADES | 2020
[11:50:59] ❌ FAIL | JD | PREGAO          | 2020
[11:50:59] ✅ DONE | JD | DISPENSA        | 2021
[11:51:00] ❌ FAIL | JD | OUTRASMODALIDADES | 2021
[11:51:03] ❌ FAIL | JD | PREGAO          | 2021
[11:51:03] ✅ DONE | JD | DISPENSA        | 2022
[11:51:06] ❌ FAIL | JD | OUTRASMODALIDADES | 2022
[11:51:07] ❌ FAIL | JD | PREGAO          | 2022
[11:51:07] ✅ DONE | JD | DISPENSA        | 2023
[11:51:10] ❌ FAIL | JD | OUTRASMODALIDADES | 2023
[11:51:12] ❌ FAIL | JD | PREGAO          | 2023
[11:51:12] ✅ DONE | JD | DISPENSA        | 2024
