arquivo_origem;data_extracao;numero_ata;numero_controle_pncp_ata;numero_controle_pncp_compra;id_compra;numero_compra;ano_compra;modalidade_codigo;modalidade_nome;uasg_codigo;uasg_nome;data_assinatura;data_vigencia_inicial;data_vigencia_final;valor_total;quantidade_itens;status_ata;ata_excluida;objeto_ata;link_ata_pncp;link_compra_pncp
atas_manuais.json;2026-04-01 12:16:29;00029/2023;10673078000120-1-000068/2023-000001;10673078000120-1-000068/2023;15813205000262023;00026;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/01/2024;03/01/2024;03/01/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00030/2023;10673078000120-1-000068/2023-000002;10673078000120-1-000068/2023;15813205000262023;00026;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/01/2024;03/01/2024;03/01/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00031/2023;10673078000120-1-000068/2023-000003;10673078000120-1-000068/2023;15813205000262023;00026;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/01/2024;03/01/2024;03/01/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00032/2023;10673078000120-1-000068/2023-000004;10673078000120-1-000068/2023;15813205000262023;00026;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/01/2024;03/01/2024;03/01/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00033/2023;10673078000120-1-000068/2023-000005;10673078000120-1-000068/2023;15813205000262023;00026;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/01/2024;03/01/2024;03/01/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00034/2023;10673078000120-1-000068/2023-000006;10673078000120-1-000068/2023;15813205000262023;00026;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/01/2024;03/01/2024;03/01/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00035/2023;10673078000120-1-000068/2023-000007;10673078000120-1-000068/2023;15813205000262023;00026;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/01/2024;03/01/2024;03/01/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00036/2023;10673078000120-1-000068/2023-000008;10673078000120-1-000068/2023;15813205000262023;00026;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/01/2024;03/01/2024;03/01/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00037/2023;10673078000120-1-000068/2023-000009;10673078000120-1-000068/2023;15813205000262023;00026;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/01/2024;03/01/2024;03/01/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00038/2023;10673078000120-1-000068/2023-000010;10673078000120-1-000068/2023;15813205000262023;00026;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/01/2024;03/01/2024;03/01/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
