arquivo_origem;data_extracao;numero_ata;uasg_gerenciadora;numero_item;codigo_pdm;descricao_item;fornecedor_cnpj;fornecedor_nome;codigo_unidade;nome_unidade;tipo_unidade;sigla_unidade;aceita_adesao;quantidade_registrada;saldo_adesoes;saldo_remanejamento_empenho;qtd_limite_adesao;qtd_limite_informado_compra;quantidade_empenhada;data_inclusao;data_atualizacao;data_exclusao
atas_unidades_RT_00001_2023_00001_p1.json;2026-02-20 11:07:55;00001/2023;158132;00001;;Prestação de Serviços de Agenciamento de Viagens (Taxa de Agenciamento);26722189000110;CERRADO VIAGENS LTDA;158288;INST.FED.DO MARANHAO/CAMPUS CENTRO HISTORICO;PARTICIPANTE;;Sim;30,00;12227,00;30,00;23030,00;23030,00;;06/11/2023;06/11/2023;
atas_unidades_RT_00001_2023_00001_p1.json;2026-02-20 11:07:55;00001/2023;158132;00001;;Prestação de Serviços de Agenciamento de Viagens (Taxa de Agenciamento);26722189000110;CERRADO VIAGENS LTDA;158296;INST.FED.DO MARANHAO/CAMPUS S.R.MANGABEIRAS;PARTICIPANTE;;Sim;70,00;12227,00;69,00;23030,00;23030,00;;06/11/2023;06/11/2024;
atas_unidades_RT_00001_2023_00001_p1.json;2026-02-20 11:07:55;00001/2023;158132;00001;;Prestação de Serviços de Agenciamento de Viagens (Taxa de Agenciamento);26722189000110;CERRADO VIAGENS LTDA;158338;INST.FED.SUL-RIO-GRANDENSE/CAMPUS PASSO FUNDO;PARTICIPANTE;;Sim;68,00;12227,00;68,00;23030,00;23030,00;;06/11/2023;28/12/2023;
atas_unidades_RT_00001_2023_00001_p1.json;2026-02-20 11:07:55;00001/2023;158132;00001;;Prestação de Serviços de Agenciamento de Viagens (Taxa de Agenciamento);26722189000110;CERRADO VIAGENS LTDA;158457;INST.FED.DO MARANHAO/CAMPUS TIMON;PARTICIPANTE;;Sim;60,00;12227,00;52,00;23030,00;23030,00;;06/11/2023;20/09/2024;
atas_unidades_RT_00001_2023_00001_p1.json;2026-02-20 11:07:55;00001/2023;158132;00001;;Prestação de Serviços de Agenciamento de Viagens (Taxa de Agenciamento);26722189000110;CERRADO VIAGENS LTDA;158503;INSTITUTO FEDERAL FARROUPILH CAMPUS SAO BORJA;PARTICIPANTE;;Sim;78,00;12227,00;72,00;23030,00;23030,00;;06/11/2023;31/10/2024;
atas_unidades_RT_00001_2023_00001_p1.json;2026-02-20 11:07:55;00001/2023;158132;00001;;Prestação de Serviços de Agenciamento de Viagens (Taxa de Agenciamento);26722189000110;CERRADO VIAGENS LTDA;158504;CAMPUS DE SANTA ROSA;PARTICIPANTE;;Sim;90,00;12227,00;90,00;23030,00;23030,00;;06/11/2023;18/12/2024;
atas_unidades_RT_00001_2023_00001_p1.json;2026-02-20 11:07:55;00001/2023;158132;00001;;Prestação de Serviços de Agenciamento de Viagens (Taxa de Agenciamento);26722189000110;CERRADO VIAGENS LTDA;158505;INST.FED.FARROUPILHA CAMPUS PANAMBI;PARTICIPANTE;;Sim;40,00;12227,00;34,00;23030,00;23030,00;;06/11/2023;16/01/2026;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;130083;SUPERINT.DE AGRICULTURA E PECUARIA - SFA/RO;PARTICIPANTE;;Sim;10,00;1339,00;10,00;2482,00;2482,00;;06/11/2023;06/11/2023;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;154040;FUNDACAO UNIVERSIDADE DE BRASILIA - FUB/DF;PARTICIPANTE;;Sim;600,00;1339,00;599,00;2482,00;2482,00;;06/11/2023;26/01/2024;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;154628;INST.FEDERAL FARROUPILHA CAMPUS JAGUARI;PARTICIPANTE;;Sim;2,00;1339,00;2,00;2482,00;2482,00;;06/11/2023;17/06/2024;
