14:27:37 | INFO     | ============================================================
14:27:37 | INFO     | 🏢 EXTRAINDO UNIDADES PARTICIPANTES DAS ATAS...
14:27:37 | INFO     | UASG        : RT (158132)
14:27:37 | INFO     | A extrair   : 1308
14:27:37 | INFO     | 🚀 INICIANDO EXTRAÇÃO DE UNIDADES | WORKERS: 3 | TOTAL: 1308
14:28:57 | INFO     | [14:28:57] ✅ DONE | 00001/2024 | item 00003 | 107/1308 (8.2%) | Falhas: 0
14:28:57 | INFO     | [14:28:57] ✅ DONE | 00001/2024 | item 00005 | 108/1308 (8.3%) | Falhas: 0
14:28:59 | INFO     | [14:28:59] ✅ DONE | 00005/2024 | item 00001 | 109/1308 (8.3%) | Falhas: 0
14:28:59 | INFO     | [14:28:59] ✅ DONE | 00005/2024 | item 00002 | 110/1308 (8.4%) | Falhas: 0
14:28:59 | INFO     | [14:28:59] ✅ DONE | 00005/2024 | item 00003 | 111/1308 (8.5%) | Falhas: 0
14:29:00 | INFO     | [14:29:00] ✅ DONE | 00005/2024 | item 00004 | 112/1308 (8.6%) | Falhas: 0
14:29:00 | INFO     | [14:29:00] ✅ DONE | 00005/2024 | item 00005 | 113/1308 (8.6%) | Falhas: 0
14:29:00 | INFO     | [14:29:00] ✅ DONE | 00005/2024 | item 00006 | 114/1308 (8.7%) | Falhas: 0
14:29:01 | INFO     | [14:29:01] ✅ DONE | 00005/2024 | item 00008 | 115/1308 (8.8%) | Falhas: 0
14:29:01 | INFO     | [14:29:01] ✅ DONE | 00005/2024 | item 00010 | 116/1308 (8.9%) | Falhas: 0
14:29:02 | INFO     | [14:29:02] ✅ DONE | 00005/2024 | item 00011 | 117/1308 (8.9%) | Falhas: 0
14:29:02 | INFO     | [14:29:02] ✅ DONE | 00005/2024 | item 00012 | 118/1308 (9.0%) | Falhas: 0
14:29:03 | INFO     | [14:29:03] ✅ DONE | 00005/2024 | item 00013 | 119/1308 (9.1%) | Falhas: 0
14:29:04 | INFO     | [14:29:04] ✅ DONE | 00005/2024 | item 00016 | 120/1308 (9.2%) | Falhas: 0
14:29:04 | INFO     | [14:29:04] ✅ DONE | 00005/2024 | item 00014 | 121/1308 (9.3%) | Falhas: 0
14:29:04 | INFO     | [14:29:04] ✅ DONE | 00005/2024 | item 00015 | 122/1308 (9.3%) | Falhas: 0
14:29:05 | INFO     | [14:29:05] ✅ DONE | 00005/2024 | item 00017 | 123/1308 (9.4%) | Falhas: 0
14:29:05 | INFO     | [14:29:05] ✅ DONE | 00005/2024 | item 00019 | 124/1308 (9.5%) | Falhas: 0
14:29:05 | INFO     | [14:29:05] ✅ DONE | 00005/2024 | item 00018 | 125/1308 (9.6%) | Falhas: 0
14:29:06 | INFO     | [14:29:06] ✅ DONE | 00005/2024 | item 00020 | 126/1308 (9.6%) | Falhas: 0
14:29:06 | INFO     | [14:29:06] ✅ DONE | 00005/2024 | item 00021 | 127/1308 (9.7%) | Falhas: 0
14:29:06 | INFO     | [14:29:06] ✅ DONE | 00005/2024 | item 00022 | 128/1308 (9.8%) | Falhas: 0
14:29:08 | INFO     | [14:29:08] ✅ DONE | 00005/2024 | item 00024 | 129/1308 (9.9%) | Falhas: 0
