09:12:02 | INFO     | ============================================================
09:12:02 | INFO     | 👥 EXTRAINDO RESPONSÁVEIS DOS CONTRATOS...
09:12:02 | INFO     | Contratos na fila : 1602
09:12:02 | INFO     | Validade cache    : 1 dia(s)
09:12:02 | INFO     | 🚀 INICIANDO EXTRAÇÃO DE RESPONSÁVEIS | WORKERS: 15 | TOTAL: 1602
09:12:09 | INFO     | [09:12:09] ✅ DONE | 359090 | 2 responsáveis | 99/1602 (6.2%) | Falhas: 0
09:12:09 | INFO     | [09:12:09] ✅ DONE | 408398 | 0 responsáveis | 100/1602 (6.2%) | Falhas: 0
09:12:09 | INFO     | [09:12:09] ✅ DONE | 408400 | 0 responsáveis | 101/1602 (6.3%) | Falhas: 0
09:12:09 | INFO     | [09:12:09] ✅ DONE | 412212 | 2 responsáveis | 102/1602 (6.4%) | Falhas: 0
09:12:09 | INFO     | [09:12:09] ✅ DONE | 357420 | 6 responsáveis | 103/1602 (6.4%) | Falhas: 0
09:12:09 | INFO     | [09:12:09] ✅ DONE | 408402 | 0 responsáveis | 104/1602 (6.5%) | Falhas: 0
09:12:09 | INFO     | [09:12:09] ✅ DONE | 408401 | 0 responsáveis | 105/1602 (6.6%) | Falhas: 0
09:12:09 | INFO     | [09:12:09] ✅ DONE | 412297 | 0 responsáveis | 106/1602 (6.6%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414342 | 0 responsáveis | 107/1602 (6.7%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414349 | 0 responsáveis | 108/1602 (6.7%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414353 | 0 responsáveis | 109/1602 (6.8%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414355 | 0 responsáveis | 110/1602 (6.9%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414351 | 0 responsáveis | 111/1602 (6.9%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414356 | 0 responsáveis | 112/1602 (7.0%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414344 | 0 responsáveis | 113/1602 (7.1%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414352 | 0 responsáveis | 114/1602 (7.1%) | Falhas: 0
